,user_name,user_location,user_description,user_verified,date,text,hashtags,source
16,FDA_ORA,,Get the latest information from FDA’s Office of Regulatory Affairs.,True,2022-08-08 14:21:00+00:00,RT @FDAfood: Learn how #GMOs go from farm to table. https://t.co/mFM7QlVqnK   #FeedYourMind https://t.co/yLRI3FohTr,"['GMOs', 'FeedYourMind']",TweetDeck Web App
17,FoodInsight.org,"Washington, DC","Your go-to resource for food safety, food production and nutrition.",False,2022-08-08 14:18:00+00:00,RT @FDAfood: Learn how #GMOs go from farm to table. https://t.co/mFM7QlVqnK   #FeedYourMind https://t.co/yLRI3FohTr,"['GMOs', 'FeedYourMind']",Twitter Web App
18,FDA FOOD (Ctr for Food Safety & Applied Nutrition),"College Park, MD","The latest on food safety, outbreaks, recalls, nutrition, additives & supplements from U.S. FDA. Retweets ≠ endorsement. Privacy Policy: https://t.co/KDg7YjylZO",True,2022-08-08 14:16:08+00:00,Learn how #GMOs go from farm to table. https://t.co/mFM7QlVqnK   #FeedYourMind https://t.co/yLRI3FohTr,"['GMOs', 'FeedYourMind']",Twitter Web App
19,Zach Roberts,God’s Country,"TN Bred | Outdoorsman | Sports | #Bitcoin | MBA & Belmont Grad. | Some choose sanity, I chose politics | Tweets/retweets = my own",False,2022-08-08 13:18:21+00:00,"RT @agripulse: #GMOs safe for humans, animals, FDA affirms in new education materials. https://t.co/bK1OqDdzSO",['GMOs'],Twitter for iPhone
20,Trey Phillips,"Stamford, CT",| Auburn University Alum | M.S. in Finance | B.S. in Ag Business & Economics | Former @NutrienLTD Crop Advisor | Grain Sales @Marex |,False,2022-08-08 13:15:55+00:00,"RT @agripulse: #GMOs safe for humans, animals, FDA affirms in new education materials. https://t.co/bK1OqDdzSO",['GMOs'],Twitter for iPhone
21,Agri-Pulse Communications,"D.C., Missouri, & Sacramento","The nation's leading source of agriculture, food & energy policy news. Try Agri-Pulse or @agripulsewest free for one month: https://t.co/a0Pwt6Qe08",False,2022-08-08 13:15:22+00:00,"#GMOs safe for humans, animals, FDA affirms in new education materials. https://t.co/bK1OqDdzSO",['GMOs'],Hootsuite Inc.
22,PAN Asia Pacific (PANAP),Asia,"Pesticide Action Network works to eliminate human & environmental harm caused by pesticides. We uphold agroecology, food sovereignty & gender justice!",False,2022-08-08 12:49:28+00:00,"Preserving, sustaining &amp; advancing traditional &amp; farmers’ wisdom; developing, multiplying &amp; freely sharing seeds; fighting for control over their lands &amp; resources remain at the core of farmers' struggle against #GMOs and corporate control over food &amp; ag.

https://t.co/LBBAvieYno https://t.co/nSw9rv31tT",,Twitter Web App
23,Tashi,,,False,2022-08-08 12:45:14+00:00,"RT @GRAIN_org: Commercialization of #GoldenRice and the push for #GMOs won’t solve food crisis. It will make it worse, threatens to exacerb…","['GoldenRice', 'GMOs']",Twitter for Android
24,Haroon Akram-Lodhi,"Toronto, Canada","Teaches agrarian political economy at Trent University in Peterborough, Canada and is an Associate Editor of Feminist Economics",False,2022-08-08 12:40:36+00:00,"RT @GRAIN_org: Commercialization of #GoldenRice and the push for #GMOs won’t solve food crisis. It will make it worse, threatens to exacerb…","['GoldenRice', 'GMOs']",Twitter for Android
25,Jeffrey Sinyard,Sukhothai,Connected Differently,False,2022-08-08 12:35:56+00:00,"RT @drvandanashiva: Nature’s food economy #plantbased since all life is sustained by green leaves of plants
 Industrial #FakeFood  economy…","['plantbased', 'FakeFood']",Twitter Web App
26,Health Bloom Inc,"Windsor, Ontario","Supplier of Empty Gelatin, Vegan and Vegetable Capsules.",False,2022-08-08 11:45:23+00:00,RT @OrganicLiveFood: Only in US #Organic Farmers are treated like #terrorists. #Monsanto/#Bayer: No food shall be grown that we do not own:…,"['Organic', 'terrorists', 'Monsanto', 'Bayer']",Twitter Web App
27,valara,Canada,"believer in freedom, climate change and science. Interested in opinions not followers🇨🇦No toZoos and aquariums. 🆘🐳🐬🐘.DONT AUTOMATICALLY FOLLOW YOU BACK.",False,2022-08-08 11:00:20+00:00,RT @GMWatch: Heard the one about how we must deregulate #GMOs so the world's biggest pesticide corporations can use them to cut pesticide u…,['GMOs'],Twitter for iPad
28,Duncan Roads,"SE Qld, Australia","Editor, NEXUS Magazine. https://t.co/x18DqXmlr8 
Creator, https://t.co/NZ4Mhq4R1o
BTW, my CAPS are for emphasis, I'm NOT yelling.",False,2022-08-08 10:33:41+00:00,RT @GMWatch: Only a minority of countries support deregulation of new #GMOs. Leading the charge are the main #GMO producing countries: the…,"['GMOs', 'GMO']",Twitter Web App
29,Narasimha Reddy D,"Hyderabad, Telangana",Learning and sharing,False,2022-08-08 10:02:03+00:00,"RT @PANAsiaPacific: Reasons to #RejectGoldenRice 🚫 &amp; fight for #OurLandOurFoodOurRice 🌾🍚👩‍🌾 (7/7)

READ #StopGoldenRice Network Asia statem…","['RejectGoldenRice', 'OurLandOurFoodOurRice', 'StopGoldenRice']",Twitter Web App
30,Narasimha Reddy D,"Hyderabad, Telangana",Learning and sharing,False,2022-08-08 10:01:50+00:00,"RT @PANAsiaPacific: Reasons to #RejectGoldenRice 🚫 &amp; fight for #OurLandOurFoodOurRice 🌾🍚👩‍🌾 (6/7)

READ #StopGoldenRice Network Asia statem…","['RejectGoldenRice', 'OurLandOurFoodOurRice', 'StopGoldenRice']",Twitter Web App
31,GMWatch,,Countering the propaganda of the biotech industry. Subscribe to free email newsletters: https://t.co/4GoxRVvA0L,False,2022-08-08 09:23:13+00:00,RT @GMWatch: Only a minority of countries support deregulation of new #GMOs. Leading the charge are the main #GMO producing countries: the…,"['GMOs', 'GMO']",TweetDeck
